item_id	level	deck_id	source_position	kanji	onyomi	kunyomi	hanviet	meaning	examples	memo	related_words	tags	status
N4-KANJI-0019	N4	n4_kanji_core	19	主	シュ, シュウ, ス	あるじ, おも, ぬし	CHỦ	chủ, chính	ご主人（ごしゅじん）; 主人公（しゅじんこう）; 飼い主（かいぬし）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	ご主人|ごしゅじん|chồng (khi nói về chồng của người khác)\n主人公|しゅじんこう|nhân vật chính\n飼い主|かいぬし|chủ nuôi	kanji,n4,image-15-28	ready
N4-KANJI-0020	N4	n4_kanji_core	20	住	ジュウ, チュウ, ヂュウ	-ず.まい, す.まう, す.む	TRÚ	sống, cư trú	住みます（すみます）; 住所（じゅうしょ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	住みます|すみます|sống, cư trú\n住所|じゅうしょ|nơi sống; địa chỉ	kanji,n4,image-15-28	ready
N4-KANJI-0021	N4	n4_kanji_core	21	麦	バク	むぎ	MẠCH	lúa mạch	小麦（こむぎ）; 小麦粉（こむぎこ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	小麦|こむぎ|lúa mì\n小麦粉|こむぎこ|bột lúa mì	kanji,n4,image-15-28	ready
N4-KANJI-0022	N4	n4_kanji_core	22	王	-ノウ, オウ		VƯƠNG	vua	国王（こくおう）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	国王|こくおう|quốc vương, vua một nước	kanji,n4,image-15-28	ready
N4-KANJI-0023	N4	n4_kanji_core	23	玉	ギョク	-だま, たま, たま-	NGỌC	ngọc, bóng	お年玉（おとしだま）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	お年玉|おとしだま|tiền mừng tuổi	kanji,n4,image-15-28	ready
N4-KANJI-0024	N4	n4_kanji_core	24	国	コク	くに	QUỐC	nước, quốc gia	国（くに）; 国際（こくさい）; 帰国（きこく）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	国|くに|đất nước\n国際|こくさい|quốc tế\n帰国|きこく|về nước	kanji,n4,image-15-28	ready
N4-KANJI-0025	N4	n4_kanji_core	25	止	シ	-さ.し, -さ.す, -と.める, -ど.まり, -ど.め, -や.む, と.まる, と.める, とど.まる, とど.め, とど.める, や.む, や.める, よ.す	CHỈ	dừng	止める（とめる）; 禁止（きんし）; 中止（ちゅうし）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	止める|とめる|ngưng, dừng\n禁止|きんし|cấm\n中止|ちゅうし|hoãn, dừng	kanji,n4,image-15-28	ready
N4-KANJI-0026	N4	n4_kanji_core	26	歩	フ, ブ, ホ	あゆ.む, ある.く	BỘ	đi bộ	歩く（あるく）; 散歩する（さんぽする）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	歩く|あるく|đi bộ\n散歩する|さんぽする|dạo bộ	kanji,n4,image-15-28	ready
N4-KANJI-0027	N4	n4_kanji_core	27	歴	レキ, レッキ		LỊCH	lịch sử	歴史（れきし）; 履歴（りれき）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	歴史|れきし|lịch sử\n履歴|りれき|sơ yếu lý lịch	kanji,n4,image-15-28	ready
N4-KANJI-0028	N4	n4_kanji_core	28	史	シ		SỬ	sử	歴史（れきし）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	歴史|れきし|lịch sử	kanji,n4,image-15-28	ready
N4-KANJI-0029	N4	n4_kanji_core	29	使	シ	-つか.い, -づか.い, つか.い, つか.う	SỬ	dùng, sai khiến	使う（つかう）; 使用（しよう）; 使用中（しようちゅう）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	使う|つかう|sử dụng, dùng\n使用|しよう|sử dụng\n使用中|しようちゅう|đang sử dụng	kanji,n4,image-15-28	ready
N4-KANJI-0030	N4	n4_kanji_core	30	便	ビン, ベン	たよ.り	TIỆN	tiện lợi, thư	便利な（べんりな）; 不便な（phủ bện na）; 郵便局（ゆうびんきょく）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	便利な|べんりな|tiện lợi\n不便な|ふべんな|bất tiện\n郵便局|ゆうびんきょく|bưu điện	kanji,n4,image-15-28	ready
N4-KANJI-0031	N4	n4_kanji_core	31	公	ク, コウ	おおやけ	CÔNG	công cộng	公園（công viên）; 公立（công lập）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	公園|こうえん|công viên\n公立|こうりつ|công lập	kanji,n4,image-15-28	ready
N4-KANJI-0032	N4	n4_kanji_core	32	広	コウ	ひろ.い, ひろ.がる, ひろ.げる, ひろ.まる, ひろ.める	QUẢNG	rộng	広い（rộng rãi, rộng）; 広場（quảng trường）; 広告（quảng cáo）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	広い|ひろい|rộng rãi, rộng\n広場|ひろば|quảng trường\n広告|こうこく|quảng cáo	kanji,n4,image-15-28	ready
N4-KANJI-0033	N4	n4_kanji_core	33	去	キョ, コ	-さ.る, さ.る	KHỨ	rời đi, quá khứ	去年（năm ngoái, năm trước）; 過去（quá khứ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	去年|きょねん|năm ngoái, năm trước\n過去|かこ|quá khứ	kanji,n4,image-15-28	ready
N4-KANJI-0034	N4	n4_kanji_core	34	考	コウ	かんが.え, かんが.える	KHẢO	suy nghĩ	考える（suy nghĩ）; 参考（tham khảo）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	考える|かんがえる|suy nghĩ\n参考|sanこう|tham khảo	kanji,n4,image-15-28	ready
N4-KANJI-0035	N4	n4_kanji_core	35	教	キョウ	おし.える, おそ.わる	GIÁO	dạy	教える（chỉ dẫn, chỉ bảo）; 教師（giáo viên）; 教育（giáo dục）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	教える|おしえる|chỉ dẫn, chỉ bảo\n教師|きょうし|giáo viên\n教育|きょういく|giáo dục	kanji,n4,image-15-28	ready
N4-KANJI-0036	N4	n4_kanji_core	36	数	サク, シュ, ス, スウ, ソク	かず, かぞ.える, しばしば, せ.める, わずらわ.しい	SỐ	số	数える（đếm）; 数学（môn Toán）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	数える|かぞえる|đếm\n数学|すうがく|môn Toán	kanji,n4,image-15-28	ready
N4-KANJI-0037	N4	n4_kanji_core	37	所	ショ	-ところ, とこ, ところ, どころ	SỞ	nơi chốn	場所（nơi, địa điểm）; 事務所（văn phòng）; 近所（nơi lân cận）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	場所|ばしょ|nơi, địa điểm\n事務所|じむしょ|văn phòng\n近所|きんじょ|nơi lân cận	kanji,n4,image-15-28	ready
N4-KANJI-0038	N4	n4_kanji_core	38	近	キン, コン	ちか.い	CẬN	gần	近く（ở gần, cạnh, kề）; 近い（gần）; 最近（gần đây, dạo này）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	近く|ちかく|ở gần, cạnh, kề\n近い|ちかい|gần\n最近|さいきん|gần đây, dạo này	kanji,n4,image-15-28	ready
N4-KANJI-0039	N4	n4_kanji_core	39	質	シチ, シツ, チ	ただ.す, たち, もと, わりふ	CHẤT	chất, chất lượng	質問する（hỏi đáp, chất vấn）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	質問する|しつもんする|hỏi đáp, chất vấn	kanji,n4,image-15-28	ready
N4-KANJI-0040	N4	n4_kanji_core	40	有	ウ, ユウ	あ.る	HỮU	có	有名な（nổi tiếng）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	有名な|ゆうめいな|nổi tiếng	kanji,n4,image-15-28	ready
N4-KANJI-0041	N4	n4_kanji_core	41	服	フク		PHỤC	quần áo	服（quần áo）; 洋服（quần áo kiểu Tây）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	服|phục|quần áo\n洋服|ようfuku|quần áo kiểu Tây	kanji,n4,image-15-28	ready
N4-KANJI-0042	N4	n4_kanji_core	42	湖	コ	みずうみ	HỒ	hồ	湖（hồ nước）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	湖|mizuうみ|hồ nước	kanji,n4,image-15-28	ready
N4-KANJI-0043	N4	n4_kanji_core	43	赤	シャク, セキ	あか, あか-, あか.い, あか.らむ, あか.らめる	XÍCH	đỏ	赤い（đỏ）; 赤（màu đỏ）; 赤ちゃん（trẻ sơ sinh）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	赤い|あかい|đỏ\n赤|あか|màu đỏ\n赤ちゃん|あかちゃん|trẻ sơ sinh	kanji,n4,image-15-28	ready
N4-KANJI-0044	N4	n4_kanji_core	44	走	ソウ	はし.る	TẨU	chạy	走る（chạy）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	走る|はしる|chạy	kanji,n4,image-15-28	ready
N4-KANJI-0045	N4	n4_kanji_core	45	場	ジョウ, チョウ	ば	TRƯỜNG	nơi, địa điểm	売り場（quầy bán hàng）; 場所（địa chỉ, địa điểm）; 会場（hội trường）; 場合（trường hợp）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	売り場|うりば|quầy bán hàng\n場所|ばしょ|địa chỉ, địa điểm\n会場|かいじょう|hội trường\n場合|baあい|trường hợp	kanji,n4,image-15-28	ready
N4-KANJI-0046	N4	n4_kanji_core	46	私	シ	わたくし, わたし	TƯ	tôi, riêng	私（tôi）; 私立（tư thục）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	私|わたし|tôi\n私立|しりつ|tư thục	kanji,n4,image-15-28	ready
N4-KANJI-0047	N4	n4_kanji_core	47	利	リ	き.く	LỢI	lợi	便利な（tiện lợi）; 利用する（sử dụng, tận dụng; lợi dụng）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	便利な|べんりな|tiện lợi\n利用する|りようする|sử dụng, tận dụng; lợi dụng	kanji,n4,image-15-28	ready
N4-KANJI-0048	N4	n4_kanji_core	48	科	カ		KHOA	khoa, môn	科学（khoa học）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	科学|かがく|khoa học	kanji,n4,image-15-28	ready
N4-KANJI-0049	N4	n4_kanji_core	49	妹	マイ	いもうと	MUỘI	em gái	妹（em gái）; 姉妹（chị em）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	妹|いもうと|em gái\n姉妹|しまい|chị em	kanji,n4,image-15-28	ready
N4-KANJI-0050	N4	n4_kanji_core	50	姉	シ	あね, はは	TỈ	chị gái	姉（chị gái）; 姉妹（chị em）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	姉|あね|chị gái\n姉妹|しまい|chị em	kanji,n4,image-15-28	ready
N4-KANJI-0051	N4	n4_kanji_core	51	妻	サイ	つま	THÊ	vợ	妻（vợ, vợ mình）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	妻|つま|vợ, vợ mình	kanji,n4,image-15-28	ready
N4-KANJI-0052	N4	n4_kanji_core	52	冬	トウ	ふゆ	ĐÔNG	mùa đông	冬（mùa đông）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	冬|ふゆ|mùa đông	kanji,n4,image-15-28	ready
N4-KANJI-0053	N4	n4_kanji_core	53	終	シュウ	-お.わる, お.える, お.わる, おわ.る, つい, つい.に	CHUNG	kết thúc	終わる（hoàn thành, kết thúc, đóng）; 終電（chuyến tàu cuối cùng trong ngày）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	終わる|おわる|hoàn thành, kết thúc, đóng\n終電|しゅうでん|chuyến tàu cuối cùng trong ngày	kanji,n4,image-15-28	ready
N4-KANJI-0054	N4	n4_kanji_core	54	寒	カン	さむ.い	HÀN	lạnh	寒い（lạnh）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	寒い|さむい|lạnh	kanji,n4,image-15-28	ready
N4-KANJI-0055	N4	n4_kanji_core	55	楽	ガク, ゴウ, ラク	この.む, たの.しい, たの.しむ	LẠC	vui, dễ chịu	楽しい（vui, vui vẻ）; 楽しむ（thưởng thức, tận hưởng）; 音楽（âm nhạc）; 楽な（nhàn nhã; dễ dàng）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	楽しい|たのしい|vui, vui vẻ\n楽しむ|たのしむ|thưởng thức, tận hưởng\n音楽|おんがく|âm nhạc\n楽な|らく|nhàn nhã; dễ dàng	kanji,n4,image-15-28	ready
N4-KANJI-0056	N4	n4_kanji_core	56	薬	ヤク	くすり	DƯỢC	thuốc	薬（thuốc）; 目薬（thuốc nhỏ mắt）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	薬|くすり|thuốc\n目薬|めぐすり|thuốc nhỏ mắt	kanji,n4,image-15-28	ready
N4-KANJI-0057	N4	n4_kanji_core	57	集	シュウ	あつ.まる, あつ.める, つど.う	TẬP	tập hợp	集める（tập trung, thu thập）; 集中（tập trung (vào một việc)）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	集める|あつめる|tập trung, thu thập\n集中|しゅうちゅう|tập trung (vào một việc)	kanji,n4,image-15-28	ready
N4-KANJI-0058	N4	n4_kanji_core	58	世	セ, セイ, ソウ	よ	THẾ	đời, thế giới	世話（sự chăm sóc, quan tâm）; 世界（thế giới）; 世紀（thế kỷ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	世話|せわ|sự chăm sóc, quan tâm\n世界|せかい|thế giới\n世紀|せいき|thế kỷ	kanji,n4,image-15-28	ready
N4-KANJI-0059	N4	n4_kanji_core	59	地	ジ, チ		ĐỊA	đất, địa điểm	地下鉄（tàu điện ngầm）; 地球（Trái Đất）; 地震（động đất）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	地下鉄|ちかてつ|tàu điện ngầm\n地球|ちきゅう|Trái Đất\n地震|じしん|động đất	kanji,n4,image-15-28	ready
N4-KANJI-0060	N4	n4_kanji_core	60	池	チ	いけ	TRÌ	ao	池（cái ao）; 電池（cục pin）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	池|いけ|cái ao\n%|でんち|cục pin	kanji,n4,image-15-28	ready
N4-KANJI-0061	N4	n4_kanji_core	61	弟	ダイ, テイ, デ	おとうと	ĐỆ	em trai	弟（em trai）; 兄弟（anh em）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	弟|おとうと|em trai\n兄弟|きょうだい|anh em	kanji,n4,image-15-28	ready
N4-KANJI-0062	N4	n4_kanji_core	62	弱	ジャク	よわ.い, よわ.まる, よわ.める, よわ.る	NHƯỢC	yếu	弱い（yếu, kém）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	弱い|よわい|yếu, kém	kanji,n4,image-15-28	ready
N4-KANJI-0063	N4	n4_kanji_core	63	漢	カン		HÁN	Hán	漢字（chữ Hán）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	漢字|かんじ|chữ Hán	kanji,n4,image-15-28	ready
N4-KANJI-0064	N4	n4_kanji_core	64	油	ユ, ユウ	あぶら	DU	dầu	油（dầu, mỡ）; 石油（dầu mỏ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	油|あぶら|dầu, mỡ\n石油|せきゆ|dầu mỏ	kanji,n4,image-15-28	ready
N4-KANJI-0065	N4	n4_kanji_core	65	村	ソン	むら	THÔN	làng	村（ngôi làng）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	村|むら|ngôi làng	kanji,n4,image-15-28	ready
N4-KANJI-0066	N4	n4_kanji_core	66	府	フ		PHỦ	phủ	府（phủ (đơn vị hành chính)）; 大阪府（phủ Osaka）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	府|ふ|phủ (đơn vị hành chính)\n大阪府|おおさかふ|phủ Osaka	kanji,n4,image-15-28	ready
N4-KANJI-0067	N4	n4_kanji_core	67	都	ツ, ト	みやこ	ĐÔ	đô, thủ đô	都会（thành thị, thành phố）; 都市（thành phố, đô thị）;都合（tình hình, hoàn cảnh, sự tiện lợi）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	都会|tôかい|thành thị, thành phố\n都市|とし|thành phố, đô thị\n都合|つごう|tình hình, hoàn cảnh, sự tiện lợi	kanji,n4,image-15-28	ready
N4-KANJI-0068	N4	n4_kanji_core	68	暑	ショ	あつ.い	THỬ	nóng	暑い（nóng (thời tiết, nhiệt độ)）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	暑い|あつい|nóng (thời tiết, nhiệt độ)	kanji,n4,image-15-28	ready
N4-KANJI-0069	N4	n4_kanji_core	69	道	トウ, ドウ	いう, みち	ĐẠO	đường	道（con đường）; 道具（dụng cụ, phương tiện）; 水道（nước máy, đường ống nước）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	道|みち|con đường\n道具|どうぐ|dụng cụ, phương tiện\n水道|すいどう|nước máy, đường ống nước	kanji,n4,image-15-28	ready
N4-KANJI-0070	N4	n4_kanji_core	70	迎	ゲイ	むか.える	NGHÊNH	đón	迎える（đón）; 歓迎（hoan nghênh, chào đón）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	迎える|むかえる|đón\n歓迎|かんげい|hoan nghênh, chào đón	kanji,n4,image-15-28	ready
N4-KANJI-0071	N4	n4_kanji_core	71	選	セン	え.る, えら.ぶ, よ.る	TUYỂN	chọn	選ぶ（chọn, tuyển chọn）; 選択する（lựa chọn）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	選ぶ|えらぶ|chọn, tuyển chọn\n選択する|せんたくする|lựa chọn	kanji,n4,image-15-28	ready
N4-KANJI-0072	N4	n4_kanji_core	72	品	ヒン, ホン	しな	PHẨM	đồ, phẩm	品物（hàng hóa, vật phẩm）; 製品（sản phẩm, hàng hóa sản xuất）; 食料品（thực phẩm）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	品物|しなもの|hàng hóa, vật phẩm\n製品|せいひん|sản phẩm, hàng hóa sản xuất\n食料品|しょくりょうひん|thực phẩm	kanji,n4,image-15-28	ready
N4-KANJI-0073	N4	n4_kanji_core	73	号	ゴウ	さけ.ぶ, よびな	HIỆU	số hiệu	番号（số, số hiệu）; 暗証番号（mật khẩu）; 信号（đèn tín hiệu）; 号室（số phòng）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	番号|ばんごう|số, số hiệu\n暗証番号|あんしょうばんごう|mật khẩu\n信号|しんごう|đèn tín hiệu\n号室|ごうしつ|số phòng	kanji,n4,image-15-28	ready
N4-KANJI-0074	N4	n4_kanji_core	74	味	ミ	あじ, あじ.わう	VỊ	vị	味（vị, mùi vị）; 趣味（sở thích）; 意味（ý nghĩa）; 興味（sự hứng thú）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	味|あじ|vị, mùi vị\n趣味|しゅみ|sở thích\n意味|いみ|ý nghĩa\n興味|きょうみ|sự hứng thú	kanji,n4,image-15-28	ready
N4-KANJI-0075	N4	n4_kanji_core	75	糸	シ	いと	MỊCH	sợi chỉ	糸（sợi chỉ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	糸|いと|sợi chỉ	kanji,n4,image-15-28	ready
